Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
225897,Six Days of War: June 1967 and the Making of the Modern Middle East,Michael B. Oren,"Oren, Michael B.",,"=""0345461924""","=""9780345461926""",0,4.17,Presidio Press,Paperback,460,2003,2001,,2024/09/22,to-read,to-read (#466),to-read,,,,0,0
56140,Cadillac Desert: The American West and Its Disappearing Water,Marc Reisner,"Reisner, Marc",,"=""0140178244""","=""9780140178241""",0,4.27,Penguin ,Paperback,582,1993,1986,,2024/09/22,to-read,to-read (#465),to-read,,,,0,0
59659,Imperium,Ryszard Kapuściński,"Kapuściński, Ryszard",,"=""1862071055""","=""9781862071056""",0,4.37,Granta Books,Paperback,352,1998,1992,,2024/09/22,to-read,to-read (#467),to-read,,,,0,0
2667310,The Oxford History of the American People,Samuel Eliot Morison,"Morison, Samuel Eliot",,"=""0195000307""","=""9780195000306""",0,4.14,Oxford University Press,Hardcover,1183,1965,1965,,2024/09/22,to-read,to-read (#468),to-read,,,,0,0
29893367,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,"Kendi, Ibram X.",,"=""""","=""""",0,4.54,Bold Type Books,Kindle Edition,594,2016,2016,,2024/09/22,to-read,to-read (#468),to-read,,,,0,0
21071,Landscape and Memory,Simon Schama,"Schama, Simon",,"=""0679735127""","=""9780679735120""",0,4.20,Vintage,Paperback,672,1996,1995,,2024/09/22,to-read,to-read (#460),to-read,,,,0,0
136038,The Russian Revolution,Richard Pipes,"Pipes, Richard",Bernhard H. Wagner,"=""0679736603""","=""9780679736608""",0,4.07,Vintage,Paperback,976,1991,1990,,2024/09/22,to-read,to-read (#462),to-read,,,,0,0
162331,Rites of Spring: The Great War and the Birth of the Modern Age,Modris Eksteins,"Eksteins, Modris",,"=""0395937582""","=""9780395937587""",0,4.13,Mariner Books,Paperback,396,2000,1989,,2024/09/22,to-read,to-read (#459),to-read,,,,0,0
501337,Frozen Hell: The Russo-Finnish Winter War of 1939-1940,William R. Trotter,"Trotter, William R.",,"=""1565122496""","=""9781565122499""",0,4.15,Algonquin Books,Paperback,320,2000,2000,,2024/09/22,to-read,to-read (#464),to-read,,,,0,0
618822,"To Marry an English Lord or, How Anglomania Really Got Started",Gail MacColl,"MacColl, Gail",Carol McD. Wallace,"=""0894809393""","=""9780894809392""",0,3.58,Workman Publishing Company,Paperback,403,1989,1989,,2024/09/22,to-read,to-read (#461),to-read,,,,0,0
54272,The Myth of Hitler's Pope: Pope Pius XII and His Secret War Against Nazi Germany,David G. Dalin,"Dalin, David G.",,"=""0895260344""","=""9780895260345""",0,4.08,Regnery History,Hardcover,209,2005,2005,,2024/09/22,to-read,to-read (#456),to-read,,,,0,0
3304956,The Comanche Empire,Pekka Hämäläinen,"Hämäläinen, Pekka",,"=""0300126549""","=""9780300126549""",0,4.16,Yale University Press,Hardcover,500,2008,2008,,2024/09/22,to-read,to-read (#458),to-read,,,,0,0
16225525,Holy Sh*t: A Brief History of Swearing,Melissa Mohr,"Mohr, Melissa",,"=""0199742677""","=""9780199742677""",0,3.88,Oxford University Press,Hardcover,316,2013,2013,,2024/09/22,to-read,to-read (#457),to-read,,,,0,0
333225,The Age Of Napoleon Part 3 Of 3,Will Durant,"Durant, Will","Ariel Durant, Alexander Adams","=""0736651020""","=""9780736651028""",0,4.50,"Books on Tape, Inc.",Audio Cassette,0,2000,,,2024/09/22,to-read,to-read (#460),to-read,,,,0,0
36432033,En defensa de España: Desmontando mitos y leyendas negras,Stanley G. Payne,"Payne, Stanley G.",,"=""8467053771""","=""9788467053777""",0,3.96,Espasa,Kindle Edition,517,2017,2017,,2024/09/22,to-read,to-read (#463),to-read,,,,0,0
76789,T.R.: The Last Romantic,H.W. Brands,"Brands, H.W.",,"=""0465069592""","=""9780465069590""",0,4.16,Basic Books,Paperback,928,1998,1997,,2024/09/22,to-read,to-read (#454),to-read,,,,0,0
101438,Skunk Works: A Personal Memoir of My Years at Lockheed,Ben R. Rich,"Rich, Ben R.",Leo Janos,"=""""","=""""",0,4.45,"Back Bay Books/Little, Brown & Co. (NY)",Paperback,382,1996,1994,,2024/09/22,to-read,to-read (#452),to-read,,,,0,0
121732,Surprised by Joy: The Shape of My Early Life,C.S. Lewis,"Lewis, C.S.",,"=""0006280838""","=""9780006280835""",0,4.06,,Paperback,185,,1955,,2024/09/22,to-read,to-read (#449),to-read,,,,0,0
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.78,Princeton University Press,Paperback,352,2004,1854,,2024/09/22,to-read,to-read (#451),to-read,,,,0,0
6640471,The Thirty Years War: Europe's Tragedy,Peter H. Wilson,"Wilson, Peter H.",,"=""0674036344""","=""9780674036345""",0,3.89,Belknap Press,Hardcover,997,2009,2009,,2024/09/22,to-read,to-read (#450),to-read,,,,0,0
24723229,"The Devil's Chessboard: Allen Dulles, the CIA, and the Rise of America's Secret Government",David Talbot,"Talbot, David",,"=""0062276166""","=""9780062276162""",0,4.34,Harper,Hardcover,704,2015,2015,,2024/09/22,to-read,to-read (#451),to-read,,,,0,0
27833494,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""""","=""""",0,4.31,Doubleday,ebook,464,2016,2016,,2024/09/22,to-read,to-read (#453),to-read,,,,0,0
53054943,The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,"Bevins, Vincent",,"=""1541742400""","=""9781541742406""",0,4.61,PublicAffairs,Hardcover,320,2020,2020,,2024/09/22,to-read,to-read (#455),to-read,,,,0,0
59802226,Amendment Seventeen: A Blessing? Or a Curse?,Michael James Geanoulis Sr,"Sr, Michael James Geanoulis",,"=""1649901259""","=""9781649901255""",0,4.58,Palmetto Publishing Group.com,Paperback,348,2020,,,2024/09/22,to-read,to-read (#448),to-read,,,,0,0
159296,Eleanor of Aquitaine and the Four Kings,Amy  Kelly,"Kelly, Amy",,"=""0674242548""","=""9780674242548""",0,3.94,Harvard University Press,Paperback,448,1991,1950,,2024/09/22,to-read,to-read (#445),to-read,,,,0,0
1277905,Ofredsår: Om den svenska stormaktstiden och en man i dess mitt,Peter Englund,"Englund, Peter",,"=""9174861158""","=""9789174860672""",0,4.30,Atlantis,Hardcover,631,1993,1993,,2024/09/22,to-read,to-read (#447),to-read,,,,0,0
1488897,Big History: From the Big Bang to the Present,Cynthia Stokes Brown,"Brown, Cynthia Stokes",,"=""1595581960""","=""9781595581969""",0,3.86,"New Press, The",Hardcover,304,2007,2007,,2024/09/22,to-read,to-read (#443),to-read,,,,0,0
7055027,Making Haste from Babylon: The Mayflower Pilgrims and Their World,Nick Bunker,"Bunker, Nick",,"=""0307266826""","=""9780307266828""",0,3.65,Knopf,Hardcover,489,2010,2010,,2024/09/22,to-read,to-read (#444),to-read,,,,0,0
3679100,Parallel Lives,Plutarch,"Plutarch, Plutarch","Arthur Hugh Clough, John Dryden","=""0394604075""","=""9780394604077""",0,4.16,Modern Library,Hardcover,1333,1977,100,,2024/09/22,to-read,to-read (#442),to-read,,,,0,0
12440845,Tower: An Epic History of the Tower of London,Nigel Jones,"Jones, Nigel",,"=""0091936659""","=""9780091936655""",0,3.74,Hutchinson,Hardcover,456,2011,2011,,2024/09/22,to-read,to-read (#444),to-read,,,,0,0
31409135,The Radium Girls: The Dark Story of America’s Shining Women,Kate  Moore,"Moore, Kate",,"=""149264935X""","=""9781492649359""",0,4.15,Sourcebooks,Hardcover,479,2017,2016,,2024/09/22,to-read,to-read (#446),to-read,,,,0,0
85552927,Diplomacy Blitz: Take Charge,Snapshot Systems,"Systems, Snapshot",Nicole Hydrick,"=""""","=""""",0,4.39,,,,,,,2024/09/22,to-read,to-read (#445),to-read,,,,0,0
56268993,"Muhammad, the World-Changer: An Intimate Portrait",Mohamad Jebara,"Jebara, Mohamad",,"=""1250239648""","=""9781250239648""",0,4.47,St. Martin's Essentials,Hardcover,368,2021,,,2024/09/22,to-read,to-read (#447),to-read,,,,0,0
130602,Sarah Morgan: The Civil War Diary Of A Southern Woman,Sarah Morgan Dawson,"Dawson, Sarah Morgan",Charles East,"=""0671785036""","=""9780671785031""",0,3.82,Touchstone,Paperback,672,1992,1913,,2024/09/22,to-read,to-read (#436),to-read,,,,0,0
664905,Redcoat: The British Soldier in the Age of Horse and Musket,Richard   Holmes,"Holmes, Richard",,"=""0006531520""","=""9780006531524""",0,4.10,HarperCollins,Paperback,466,2002,2001,,2024/09/22,to-read,to-read (#441),to-read,,,,0,0
108305,Triangle: The Fire That Changed America,David von Drehle,"Drehle, David von",,"=""080214151X""","=""9780802141514""",0,4.00,Grove Press,Paperback,340,2004,2003,,2024/09/22,to-read,to-read (#438),to-read,,,,0,0
24658,The Prose Edda: Norse Mythology (Penguin Classics),Snorri Sturluson,"Sturluson, Snorri",Jesse L. Byock,"=""0140447555""","=""9780140447552""",0,4.16,Penguin Books,Paperback,224,2005,1220,,2024/09/22,to-read,to-read (#439),to-read,,,,0,0
913651,"Marlborough: His Life and Times, Book One",Winston S. Churchill,"Churchill, Winston S.",,"=""0226106330""","=""9780226106335""",0,4.33,University of Chicago Press,Paperback,1050,2002,1947,,2024/09/22,to-read,to-read (#437),to-read,,,,0,0
