Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61423989,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan,"Egan, Timothy",,0735225265,9780735225268,0,4.39,Viking,Hardcover,432,2023,2023,,3/15/23,,,read,,,,1,0
101160707,"The Mysterious Case of Rudolf Diesel: Genius, Power, and Deception on the Eve of World War I",Douglas Brunt,"Brunt, Douglas",,1982169907,9781982169909,0,4.24,Atria Books,Kindle Edition,374,2023,,,10/6/23,,,read,,,,1,0
123432980,"Hitler, Stalin, Mum and Dad",Daniel Finkelstein,"Finkelstein, Daniel",,0008483868,9780008483869,0,4.63,William Collins,Kindle Edition,512,2023,2023,,12/16/23,,,read,,,,1,0
42201377,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough,"McCullough, David",,1501168681,9781501168680,0,3.81,Simon & Schuster,Hardcover,352,2019,2019,,2/10/24,,,read,,,,1,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,039335668X,9780393356687,0,4.12,W.W. Norton & Company,Paperback,502,2019,2018,,3/10/22,,,read,,,,1,0
57446130,Half American: The Epic Story of African Americans Fighting World War II at Home and Abroad,Matthew F. Delmont,"Delmont, Matthew F.",,198488039X,9781984880390,0,4.53,Viking Books,Hardcover,400,2022,2022,,3/11/23,,,read,,,,1,0
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,0385534256,9780385534253,0,4.14,Doubleday,ebook,359,2017,2017,,5/19/18,,,read,,,,1,0
74890650,The Migrant Chef: The Life and Times of Lalo García,Laura Tillman,"Tillman, Laura",,,,0,4.07,W. W. Norton & Company,Kindle Edition,249,2023,,,8/13/23,,,read,,,,1,0
60194141,The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,Jonathan Freedland,"Freedland, Jonathan",,0063112337,9780063112339,0,4.38,Harper,Hardcover,416,2022,2022,,11/24/22,,,read,,,,1,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,0061234001,9780061234002,0,4.01,William Morrow,Hardcover,268,2006,2005,,3/15/23,,,read,,,,1,0
55643287,How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith,"Smith, Clint",,0316492930,9780316492935,0,4.72,"Little, Brown and Company",Hardcover,336,2021,2021,,6/1/21,,,read,,,,1,0
6463967,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,0393072231,9780393072235,0,4.3,W. W. Norton & Company,Hardcover,264,2010,2010,,9/17/22,,,read,,,,1,0
